CustomerKey,FirstName,LastName,Full Name,Customer City,Gender,DateFirstPurchase
11115,Alvin,Cai,Alvin Cai,St. Leonards,Male,2020-02-10
11116,Clinton,Carlson,Clinton Carlson,Sydney,Male,2020-03-15
11117,April,Deng,April Deng,Matraville,Female,2018-05-06
11118,Alvin,Zeng,Alvin Zeng,Lavender Bay,Male,2020-07-10
11119,Evan,James,Evan James,Port Macquarie,Male,2020-02-03
11120,Beth,Jiménez,Beth Jiménez,Sydney,Female,2018-05-14
11121,Orlando,Suarez,Orlando Suarez,Newcastle,Male,2020-06-24
11122,Byron,Vazquez,Byron Vazquez,North Sydney,Male,2020-02-21
11123,Philip,Alvarez,Philip Alvarez,Sunbury,Male,2020-04-17
11124,Ross,Jordan,Ross Jordan,Warrnambool,Male,2018-05-05
11125,Dana,Navarro,Dana Navarro,Seaford,Female,2020-01-31
11126,Shaun,Carson,Shaun Carson,North Ryde,Male,2018-05-28
11127,Jan,Edwards,Jan Edwards,San Gabriel,Female,2020-04-10
11128,Samantha,Long,Samantha Long,Renton,Female,2020-06-19
11129,Julia,Wright,Julia Wright,Sedro Woolley,Female,2018-08-06
11130,Caroline,Russell,Caroline Russell,Lebanon,Female,2020-12-09
11131,Amanda,Rivera,Amanda Rivera,Haney,Female,2020-10-18
11132,Melissa,Richardson,Melissa Richardson,Langford,Female,2020-04-09
11133,Angela,Griffin,Angela Griffin,Lake Oswego,Female,2020-12-30
11134,Larry,Townsend,Larry Townsend,Perth,Male,2018-05-03
11135,Marcus,Harris,Marcus Harris,Burlingame,Male,2020-04-18
11136,Brianna,Morgan,Brianna Morgan,Metchosin,Female,2020-01-03
11137,Jasmine,Taylor,Jasmine Taylor,Spokane,Female,2020-07-31
11138,Lauren,Davis,Lauren Davis,Glendale,Female,2020-09-19
11139,Tanya,Moreno,Tanya Moreno,Cloverdale,Female,2020-09-14
11140,Javier,Alvarez,Javier Alvarez,Burbank,Male,2020-03-19
11141,Nicole,Ramirez,Nicole Ramirez,Daly City,Female,2020-05-16
11142,Eduardo,Patterson,Eduardo Patterson,Langford,Male,2020-02-13
11143,Jonathan,Henderson,Jonathan Henderson,Lakewood,Male,2020-06-15
11144,Edward,Hernandez,Edward Hernandez,Ballard,Male,2020-01-25
11145,Jasmine,Coleman,Jasmine Coleman,Beaverton,Female,2020-01-25
11146,Karla,Goel,Karla Goel,Matraville,Female,2020-02-05
11147,Ernest,Wu,Ernest Wu,Warrnambool,Male,2018-05-13
11148,Ross,Vazquez,Ross Vazquez,East Brisbane,Male,2020-03-07
11149,Theodore,Gill,Theodore Gill,Hervey Bay,Male,2020-06-04
11150,Russell,Shen,Russell Shen,Sunbury,Male,2020-03-27
11151,Melinda,Gill,Melinda Gill,Sydney,Female,2018-05-15
11152,James,Williams,James Williams,Puyallup,Male,2020-01-09
11153,Angela,James,Angela James,Renton,Female,2020-03-29
11154,Megan,Walker,Megan Walker,Woodburn,Female,2020-01-10
11155,Hunter,Robinson,Hunter Robinson,Burbank,Male,2020-01-06
11156,Maria,Roberts,Maria Roberts,Lakewood,Female,2020-01-08
11157,Hannah,Long,Hannah Long,Tacoma,Female,2020-07-24
11158,Jason,Wright,Jason Wright,San Gabriel,Male,2020-01-19
11159,Brianna,Hughes,Brianna Hughes,Woodland Hills,Female,2020-09-08
11160,Maurice,Tang,Maurice Tang,Concord,Male,2020-02-21
11161,Emily,Wood,Emily Wood,Concord,Female,2020-06-01
11162,Chase,Cox,Chase Cox,La Jolla,Male,2020-02-18
11163,Gabriel,Wang,Gabriel Wang,Spring Valley,Male,2020-05-01
11164,Devin,Brooks,Devin Brooks,Torrance,Male,2020-04-27
11165,Jocelyn,Alexander,Jocelyn Alexander,Oakland,Female,2020-05-25
11166,Ashley,Martinez,Ashley Martinez,Olympia,Female,2020-10-14
11167,Jasmine,Barnes,Jasmine Barnes,Issaquah,Female,2020-01-07
11168,David,Rodriguez,David Rodriguez,Oakland,Male,2020-01-15
11169,Bryce,Richardson,Bryce Richardson,Coronado,Male,2020-05-26
11170,Carol,Howard,Carol Howard,Burien,Female,2020-08-26
11171,Jonathan,Hill,Jonathan Hill,Woodland Hills,Male,2018-08-20
11172,Gabrielle,Adams,Gabrielle Adams,Lynnwood,Female,2020-05-03
11173,Sarah,Thomas,Sarah Thomas,W. Linn,Female,2020-03-02
11174,Nicholas,Robinson,Nicholas Robinson,Los Angeles,Male,2020-07-13
11175,Luis,Wang,Luis Wang,Beverly Hills,Male,2018-08-28
11176,Mason,Roberts,Mason Roberts,Haney,Male,2020-02-02
11177,Jose,Flores,Jose Flores,San Diego,Male,2020-03-29
11178,Nathan,Johnson,Nathan Johnson,Lakewood,Male,2020-02-21
11179,Molly,Rodriguez,Molly Rodriguez,Beverly Hills,Female,2020-03-12
11180,April,Anand,April Anand,Chula Vista,Female,2020-03-17
11181,Devin,Martin,Devin Martin,Los Angeles,Male,2020-05-07
11182,Stephanie,Torres,Stephanie Torres,Sedro Woolley,Female,2020-08-28
11183,Jasmine,Lee,Jasmine Lee,Santa Cruz,Female,2020-04-30
11184,Meghan,Hernandez,Meghan Hernandez,Concord,Female,2020-08-10
11185,Ashley,Henderson,Ashley Henderson,Metchosin,Female,2020-02-21
11186,Sarah,Price,Sarah Price,Palo Alto,Female,2020-10-18
11187,Jennifer,Cooper,Jennifer Cooper,Burien,Female,2020-04-03
11188,Catherine,Morris,Catherine Morris,San Gabriel,Female,2020-11-01
11189,Lawrence,Blanco,Lawrence Blanco,Bellingham,Male,2018-08-26
11190,Carson,Bryant,Carson Bryant,Beverly Hills,Male,2020-08-28
11191,Kristi,Perez,Kristi Perez,Colma,Female,2018-08-11
11192,James,Brown,James Brown,Seattle,Male,2020-06-23
11193,Ian,Gray,Ian Gray,Woodburn,Male,2020-02-25
11194,Jacqueline,Price,Jacqueline Price,Palo Alto,Female,2020-03-13
11195,Megan,Henderson,Megan Henderson,Renton,Female,2020-04-14
11196,Alfredo,Romero,Alfredo Romero,Beaverton,Male,2020-03-03
11197,Andrea,Morris,Andrea Morris,Seattle,Female,2020-05-02
11198,Brooke,Sanders,Brooke Sanders,Santa Cruz,Female,2020-02-05
11199,Jacqueline,Bennett,Jacqueline Bennett,Burlingame,Female,2020-03-18
11200,Jason,Griffin,Jason Griffin,Victoria,Male,2020-02-07
11201,Amanda,Foster,Amanda Foster,Santa Monica,Female,2020-07-01
11202,Alexia,Price,Alexia Price,Lakewood,Female,2020-09-15
11203,Luis,Diaz,Luis Diaz,Port Hammond,Male,2020-02-20
11204,Destiny,Rivera,Destiny Rivera,Beaverton,Female,2020-08-09
11205,Abby,Fernandez,Abby Fernandez,Burien,Female,2020-07-27
11206,Blake,Flores,Blake Flores,Lynnwood,Male,2020-05-11
11207,Danielle,Cox,Danielle Cox,Renton,Female,2020-01-31
11208,Maria,Reed,Maria Reed,Glendale,Female,2020-03-04
11209,Allison,Evans,Allison Evans,Lincoln Acres,Female,2020-03-25
11210,Edward,Wood,Edward Wood,West Covina,Male,2020-05-06
11211,Samantha,Russell,Samantha Russell,Haney,Female,2020-02-01
11212,Chloe,Campbell,Chloe Campbell,Metchosin,Female,2020-01-30
11213,Stephanie,Murphy,Stephanie Murphy,Edmonds,Female,2020-03-28
11214,Charles,Miller,Charles Miller,Milwaukie,Male,2020-08-14
11215,Ana,Perry,Ana Perry,Royal Oak,Female,2020-02-15
11216,Jasmine,Torres,Jasmine Torres,Portland,Female,2018-08-15
11217,Natalie,Adams,Natalie Adams,Portland,Female,2018-08-10
11218,Olivia,Brown,Olivia Brown,Tacoma,Female,2020-02-28
11219,Charles,Cook,Charles Cook,Woodburn,Male,2020-10-29
11220,Erica,Huang,Erica Huang,Colma,Female,2020-03-14
11221,Nathan,Perry,Nathan Perry,Lakewood,Male,2020-04-07
11222,Alexandra,Rivera,Alexandra Rivera,Santa Monica,Female,2020-11-01
11223,Hailey,Patterson,Hailey Patterson,Langley,Female,2020-01-29
11224,Tiffany,Li,Tiffany Li,Burien,Female,2018-08-07
11225,Madison,Lee,Madison Lee,Renton,Female,2020-06-22
11226,Sydney,Ross,Sydney Ross,W. Linn,Female,2020-02-21
11227,Marshall,Chavez,Marshall Chavez,Colma,Male,2018-08-03
11228,Ashley,Jones,Ashley Jones,El Cajon,Female,2020-10-25
11229,Adrian,Stewart,Adrian Stewart,Redwood City,Male,2020-07-27
11230,Amber,Turner,Amber Turner,Santa Monica,Female,2020-07-16
11231,Dennis,Zhang,Dennis Zhang,Bremerton,Male,2020-02-10
11232,Hailey,Bryant,Hailey Bryant,Everett,Female,2020-09-20
11233,Todd,Li,Todd Li,Berkeley,Male,2020-02-08
11234,Anna,Griffin,Anna Griffin,Long Beach,Female,2020-02-08
11235,Angel,Stewart,Angel Stewart,Ballard,Male,2020-07-04
11236,Jeremy,Butler,Jeremy Butler,Bellingham,Male,2020-10-03
11237,Clarence,Anand,Clarence Anand,Solingen,Male,2018-09-05
11238,Mayra,Prasad,Mayra Prasad,Birmingham,Female,2018-01-06
11239,Latoya,Goel,Latoya Goel,London,Female,2018-01-19
11240,Anne,Hernandez,Anne Hernandez,Watford,Female,2018-02-27
11241,Lisa,Cai,Lisa Cai,Les Ulis,Female,2019-09-10
11242,Larry,Munoz,Larry Munoz,Versailles,Male,2019-09-19
11243,Robin,Alvarez,Robin Alvarez,Esher-Molesey,Female,2018-02-21
11244,Alexis,Coleman,Alexis Coleman,Runcorn,Female,2018-02-12
11245,Ricky,Vazquez,Ricky Vazquez,Hamburg,Male,2018-09-26
11246,Latasha,Rubio,Latasha Rubio,Hamburg,Female,2018-10-03
11247,Claudia,Zhou,Claudia Zhou,Lancaster,Female,2018-02-18
11248,Tristan,Alexander,Tristan Alexander,Saint-Denis,Male,2020-07-14
11249,Cindy,Patel,Cindy Patel,Sulzbach Taunus,Female,2018-10-09
11250,Shannon,Liu,Shannon Liu,Woolston,Female,2018-03-17
11251,Xavier,Long,Xavier Long,Haney,Male,2020-10-18
11252,Nicholas,Thompson,Nicholas Thompson,Lemon Grove,Male,2018-08-14
11253,José,Hernandez,José Hernandez,Victoria,Male,2020-03-01
11254,Johnathan,Vance,Johnathan Vance,Burien,Male,2020-11-23
11255,Colin,Lin,Colin Lin,Burien,Male,2020-02-23
11256,Katelyn,Hernandez,Katelyn Hernandez,Lynnwood,Female,2020-04-15
11257,Jacqueline,Powell,Jacqueline Powell,Newport Beach,Female,2018-08-24
11258,Xavier,Hill,Xavier Hill,Palo Alto,Male,2020-05-21
11259,Victoria,Stewart,Victoria Stewart,Salem,Female,2018-09-04
11260,Katelyn,Kelly,Katelyn Kelly,Burlingame,Female,2020-02-05
11261,Stephanie,Collins,Stephanie Collins,San Diego,Female,2018-09-27
11262,Jennifer,Simmons,Jennifer Simmons,Port Hammond,Female,2020-02-27
11263,Trinity,Richardson,Trinity Richardson,Burien,Female,2018-08-29
11264,Eduardo,Martin,Eduardo Martin,Issaquah,Male,2020-01-02
11265,Elizabeth,Jones,Elizabeth Jones,Kirkland,Female,2020-01-03
11266,Taylor,Howard,Taylor Howard,Port Orchard,Female,2018-09-10
11267,David,Diaz,David Diaz,Burlingame,Male,2018-09-17
11268,Katelyn,Carter,Katelyn Carter,Coronado,Female,2020-05-29
11269,Ryan,Foster,Ryan Foster,Daly City,Male,2020-08-22
11270,Robert,Lee,Robert Lee,Lakewood,Male,2018-09-10
11271,Danielle,Reed,Danielle Reed,San Francisco,Female,2018-09-27
11272,Lauren,Martinez,Lauren Martinez,Beverly Hills,Female,2018-09-19
11273,Nathan,Lal,Nathan Lal,La Jolla,Male,2020-05-14
11274,Kyle,Foster,Kyle Foster,Bellingham,Male,2018-08-29
11275,Jenny,Rai,Jenny Rai,Colma,Female,2018-08-30
11276,Nancy,Chapman,Nancy Chapman,Cliffside,Female,2020-01-29
11277,Charles,Jackson,Charles Jackson,Royal Oak,Male,2020-02-02
11278,Jonathan,Phillips,Jonathan Phillips,Edmonds,Male,2018-09-16
11279,Amanda,Cook,Amanda Cook,Everett,Female,2020-03-03
11280,Robert,Collins,Robert Collins,Lynnwood,Male,2020-07-01
11281,Megan,Barnes,Megan Barnes,Burbank,Female,2018-09-13
11282,Christian,Thomas,Christian Thomas,Burien,Male,2018-08-31
11283,Arturo,Lal,Arturo Lal,Berkeley,Male,2020-05-29
11284,Theresa,Serrano,Theresa Serrano,Chula Vista,Female,2020-02-06
11285,Jeremy,Anderson,Jeremy Anderson,Fremont,Male,2020-07-27
11286,Hunter,Griffin,Hunter Griffin,Torrance,Male,2018-09-21
11287,Henry,Garcia,Henry Garcia,Cliffside,Male,2020-01-29
11288,Cindy,Sanchez,Cindy Sanchez,Burbank,Female,2020-03-05
11289,Maria,Carter,Maria Carter,Downey,Female,2018-09-08
11290,Katelyn,Sanchez,Katelyn Sanchez,Lakewood,Female,2018-09-20
11291,Jenna,Wright,Jenna Wright,Lemon Grove,Female,2018-09-04
11292,Seth,Phillips,Seth Phillips,San Gabriel,Male,2018-09-15
11293,Luke,Long,Luke Long,Port Orchard,Male,2020-02-24
11294,Dalton,Clark,Dalton Clark,Issaquah,Male,2020-09-25
11295,Taylor,Lewis,Taylor Lewis,Concord,Female,2018-09-25
11296,Haley,Richardson,Haley Richardson,Everett,Female,2018-09-01
11297,Noah,Coleman,Noah Coleman,Burbank,Male,2018-09-26
11298,Jon,Luo,Jon Luo,Chula Vista,Male,2018-09-12
11299,Orlando,Vazquez,Orlando Vazquez,Burbank,Male,2018-09-26
11300,Fernando,Barnes,Fernando Barnes,N. Vancouver,Male,2020-01-31
11301,Cameron,Rodriguez,Cameron Rodriguez,Ballard,Male,2020-06-09
11302,Spencer,Russell,Spencer Russell,Corvallis,Male,2018-09-06
11303,Julia,Coleman,Julia Coleman,Edmonds,Female,2018-09-02
11304,Julia,Garcia,Julia Garcia,Portland,Female,2020-03-20
11305,Sean,Evans,Sean Evans,Chula Vista,Male,2020-03-25
11306,Micah,Zhou,Micah Zhou,Coronado,Male,2020-06-30
11307,Hunter,Rodriguez,Hunter Rodriguez,Daly City,Male,2018-09-04
11308,Ian,Gonzales,Ian Gonzales,Oregon City,Male,2020-09-07
11309,Victoria,Lewis,Victoria Lewis,Beaverton,Female,2020-07-09
11310,Erin,Sanders,Erin Sanders,San Francisco,Female,2020-08-12
11311,Gabrielle,Lopez,Gabrielle Lopez,Lynnwood,Female,2020-04-18
11312,Sara,Richardson,Sara Richardson,Lynnwood,Female,2020-05-17
11313,Trevor,Jenkins,Trevor Jenkins,Port Orchard,Male,2020-05-07
11314,Mya,Flores,Mya Flores,Issaquah,Female,2020-02-25
11315,Hailey,Ward,Hailey Ward,Port Orchard,Female,2020-05-20
11316,Luke,Allen,Luke Allen,Langford,Male,2020-01-12
11317,Victoria,Russell,Victoria Russell,Salem,Female,2018-09-01
11318,Jessica,Wilson,Jessica Wilson,Edmonds,Female,2020-10-17
11319,Jade,Bailey,Jade Bailey,Oakland,Female,2018-09-09
11320,Morgan,Hill,Morgan Hill,Glendale,Female,2020-06-15
11321,Terrance,Raman,Terrance Raman,Burien,Male,2020-02-23
11322,Sydney,Garcia,Sydney Garcia,Bremerton,Female,2020-03-24
11323,Jose,Patterson,Jose Patterson,Daly City,Male,2018-09-10
11324,Zachary,Anderson,Zachary Anderson,Glendale,Male,2018-09-26
11325,Elijah,Ross,Elijah Ross,Seattle,Male,2018-09-19
11326,Rafael,Xie,Rafael Xie,Beverly Hills,Male,2018-09-15
11327,Jaime,Moreno,Jaime Moreno,Burbank,Male,2018-09-26
11328,Julian,Griffin,Julian Griffin,Newton,Male,2020-01-05
11329,Andy,Alvarez,Andy Alvarez,Concord,Male,2018-09-25
11330,Ryan,Thompson,Ryan Thompson,Oak Bay,Male,2020-02-12
11331,Samantha,Jenkins,Samantha Jenkins,Shawnee,Female,2020-02-07
11332,Deanna,Ramos,Deanna Ramos,Berlin,Female,2018-10-15
11333,Emily,Miller,Emily Miller,Newcastle upon Tyne,Female,2018-03-21
11334,Nicole,Brown,Nicole Brown,Stoke-on-Trent,Female,2018-03-04
11335,Carla,Raman,Carla Raman,Hof,Female,2018-10-23
11336,Shaun,Raji,Shaun Raji,Paris,Male,2019-09-27
11337,Jerome,Romero,Jerome Romero,Watford,Male,2018-03-09
11338,Frank,Navarro,Frank Navarro,Bonn,Male,2018-10-11
11339,Dennis,She,Dennis She,Paris,Male,2019-10-07
11340,Melody,Munoz,Melody Munoz,Paris,Female,2019-10-27
11341,Randy,Zeng,Randy Zeng,Cheltenham,Male,2018-04-11
11342,Marshall,Wang,Marshall Wang,Boulogne-sur-Mer,Male,2020-07-12
11343,Arthur,Carlson,Arthur Carlson,Oxon,Male,2018-04-04
11344,Jessie,Jimenez,Jessie Jimenez,Oxford,Female,2018-05-13
11345,Robin,Ramos,Robin Ramos,Tremblay-en-France,Female,2019-10-22
11346,Deanna,Gutierrez,Deanna Gutierrez,Paris,Female,2019-10-01
11347,Roy,Navarro,Roy Navarro,Braunschweig,Male,2020-03-16
11348,Shawn,Rai,Shawn Rai,Paderborn,Male,2020-03-31
11349,Mindy,Luo,Mindy Luo,München,Female,2021-01-13
11350,Cara,Zhou,Cara Zhou,Peterborough,Female,2020-02-05
11351,Anne,Ramos,Anne Ramos,London,Female,2018-06-12
11352,Raymond,Rodriguez,Raymond Rodriguez,Pantin,Male,2020-05-01
11353,Carrie,Ortega,Carrie Ortega,Warrington,Female,2018-06-12
11354,Deanna,Suarez,Deanna Suarez,Grevenbroich,Female,2020-12-03
11355,Roberto,Gutierrez,Roberto Gutierrez,Wokingham,Male,2020-09-26
11356,Terrence,Carson,Terrence Carson,Lavender Bay,Male,2018-05-10
11357,Ramon,Ye,Ramon Ye,Caloundra,Male,2018-06-18
11358,Cynthia,Malhotra,Cynthia Malhotra,Coffs Harbour,Female,2018-06-28
11359,Jarrod,Prasad,Jarrod Prasad,Malabar,Male,2018-06-13
11360,Tyrone,Serrano,Tyrone Serrano,Rockhampton,Male,2018-06-27
11361,Cindy,Ramos,Cindy Ramos,Newcastle,Female,2020-10-01
11362,Damien,Shan,Damien Shan,Cranbourne,Male,2020-03-29
11363,Julian,Ross,Julian Ross,Melbourne,Male,2018-06-08
11364,Jennifer,Collins,Jennifer Collins,Geelong,Female,2018-06-07
11365,Brittney,Sun,Brittney Sun,Findon,Female,2018-05-31
11366,Virginia,Patel,Virginia Patel,Seaford,Female,2020-06-24
11367,Calvin,Nara,Calvin Nara,North Sydney,Male,2020-07-07
11368,Edward,Miller,Edward Miller,Rockhampton,Male,2018-06-24
11369,Ashlee,Tang,Ashlee Tang,Findon,Female,2020-07-05
11370,Alicia,Xu,Alicia Xu,South Melbourne,Female,2020-07-13
11371,Lacey,Jai,Lacey Jai,Rockhampton,Female,2020-11-07
11372,Wendy,Romero,Wendy Romero,Brisbane,Female,2018-06-07
11373,Carly,Luo,Carly Luo,Salzgitter,Female,2020-08-27
11374,Jimmy,Ortega,Jimmy Ortega,Werne,Male,2020-04-15
11375,Francisco,Martinez,Francisco Martinez,High Wycombe,Male,2020-10-17
11376,Lance,Vazquez,Lance Vazquez,Liverpool,Male,2020-10-15
11377,David,Robinett,David Robinett,Solingen,Male,2020-02-28
11378,Shannon,Liang,Shannon Liang,Metz,Female,2019-10-17
